gene,p_value,slope,ctrl,condition,p_value_adj,age_group,dataset,comparison,cell_type
GPBP1,6.257894042784466e-05,0.22742479992760956,PBS,IL-10,0.00014209450931288578,All age groups,parsebioscience,IL-10,CD4T
GPBP1L1,0.0010695925753138238,0.2965569838059303,PBS,IL-10,0.0017524862964757265,All age groups,parsebioscience,IL-10,CD4T
GTF2B,0.07411668674149795,0.09642046617142432,PBS,IL-10,0.09046907894520953,All age groups,parsebioscience,IL-10,CD4T
GTF2I,0.00033981654341071524,0.274901063438514,PBS,IL-10,0.0006377173898368489,All age groups,parsebioscience,IL-10,CD4T
GTF3A,5.826295762137745e-13,-1.3086302911200693,PBS,IL-10,5.772097662024836e-12,All age groups,parsebioscience,IL-10,CD4T
HBP1,6.922092155597459e-09,0.35784047840405003,PBS,IL-10,3.17076479385432e-08,All age groups,parsebioscience,IL-10,CD4T
HIF1A,1.8777483501920662e-13,0.3730344569457687,PBS,IL-10,1.9998019929545505e-12,All age groups,parsebioscience,IL-10,CD4T
HIVEP1,3.3220581250827005e-12,0.32506424347657614,PBS,IL-10,2.6701825684626987e-11,All age groups,parsebioscience,IL-10,CD4T
HIVEP2,5.527980272382451e-09,0.6207763825489614,PBS,IL-10,2.6165773289276936e-08,All age groups,parsebioscience,IL-10,CD4T
HIVEP3,0.1882888430405768,0.08723891362671232,PBS,IL-10,0.21737411147773908,All age groups,parsebioscience,IL-10,CD4T
HMBOX1,1.9887958773379687e-05,0.24560664606800284,PBS,IL-10,5.07321583081422e-05,All age groups,parsebioscience,IL-10,CD4T
HMG20B,0.0009442916742061395,-0.1338049502274792,PBS,IL-10,0.001571360364108654,All age groups,parsebioscience,IL-10,CD4T
HMGA1,1.2619397150328447e-11,-1.1498181923542814,PBS,IL-10,8.959771976733198e-11,All age groups,parsebioscience,IL-10,CD4T
HMGN3,1.3054189563703736e-08,-0.26732114678693664,PBS,IL-10,5.5610847541377914e-08,All age groups,parsebioscience,IL-10,CD4T
HOXB2,0.01785936370653485,-0.06981451131107366,PBS,IL-10,0.02319539310665807,All age groups,parsebioscience,IL-10,CD4T
HSF1,0.0009389916814662568,-0.1329621665287588,PBS,IL-10,0.0015686684560965703,All age groups,parsebioscience,IL-10,CD4T
HSF2,0.15605556226702566,0.06486415705719618,PBS,IL-10,0.1811435136941497,All age groups,parsebioscience,IL-10,CD4T
IKZF1,1.8704195230862708e-10,0.534688653122902,PBS,IL-10,1.076755022749664e-09,All age groups,parsebioscience,IL-10,CD4T
IKZF2,0.9802443356121964,-0.001764223729320698,PBS,IL-10,0.9848681296481029,All age groups,parsebioscience,IL-10,CD4T
IKZF3,0.5056374825047307,0.0567607773673137,PBS,IL-10,0.5523117116590136,All age groups,parsebioscience,IL-10,CD4T
