gene,p_value,slope,p_value_adj,condition,comparison,dataset,cell_type,meta_p,meta_p_adj,neg_log10_adj_pval,trend
YBX1,3.042549352211525e-08,0.17613594996415607,5.0119514522864265e-08,healthy,aging,onek1k,CD4T,1.12827432126128e-21,3.08105680036734e-21,20.511300295237515,Increase in aging
YBX3,0.04369987549726528,-0.0645766180653935,0.047499864670940514,healthy,aging,onek1k,CD4T,0.0210143466215698,0.0211633845408717,1.6744148768125284,Inconsistent
YY1,0.000897904419817578,0.10612885624936882,0.0010541695536532337,healthy,aging,onek1k,CD4T,6.79602276506478e-13,1.04895133982522e-12,11.97924465797952,Increase in aging
ZBED4,9.488269601676373e-10,0.1942071694798724,1.8413308587728122e-09,healthy,aging,onek1k,CD4T,2.13508306956346e-18,4.4368067689465e-18,17.352929485190963,Increase in aging
ZBED5,0.03150015749858732,0.06884864827538384,0.034327094709999,healthy,aging,onek1k,CD4T,9.10077353067493e-06,9.59636020808792e-06,5.017893458760804,Inconsistent
ZBTB1,9.06687290576093e-10,0.1944325194107416,1.7676243050221997e-09,healthy,aging,onek1k,CD4T,3.17581535371313e-08,3.84345835420964e-08,7.4152778203667795,Inconsistent
ZBTB10,1.544085063327153e-06,0.15310695450507678,2.1445625879543792e-06,healthy,aging,onek1k,CD4T,4.44336968111438e-08,5.33204361733725e-08,7.27310630661538,Inconsistent
ZBTB11,6.599983397299158e-15,0.24588927728252977,5.499986164415965e-14,healthy,aging,onek1k,CD4T,5.75801921037439e-18,1.14622251571004e-17,16.94073106477324,Inconsistent
ZBTB16,4.411709468487959e-14,0.2384261141418926,2.6041340612602534e-13,healthy,aging,onek1k,CD4T,1.37895644551563e-37,2.0256394682402e-36,35.69343784964065,Increase in aging
ZBTB20,0.9417952872616713,0.002340104329533113,0.9417952872616713,healthy,aging,onek1k,CD4T,8.64556482929725e-06,9.13898416198668e-06,5.039102075312331,Inconsistent
ZBTB21,4.771947152713451e-08,0.17365090358535754,7.770412030280523e-08,healthy,aging,onek1k,CD4T,5.206816781719301e-10,6.909981149571411e-10,9.160523137379533,Inconsistent
ZBTB24,2.4968397439679582e-14,0.24068883815055345,1.6325490633636648e-13,healthy,aging,onek1k,CD4T,8.412678778042181e-23,2.59695736191737e-22,21.585535180765774,Increase in aging
ZBTB25,0.0001916214438707002,0.11911578135098101,0.00023334989583108191,healthy,aging,onek1k,CD4T,8.39278956739546e-07,9.40875883081701e-07,6.026467663339942,Inconsistent
ZBTB38,1.3437951902694282e-12,0.22432571804782098,4.881307315081257e-12,healthy,aging,onek1k,CD4T,5.56735829526764e-34,4.5609512188154196e-33,32.340944572686176,Increase in aging
ZBTB40,1.0361919268858756e-07,0.1692837860201951,1.6310428478759154e-07,healthy,aging,onek1k,CD4T,2.45166218963656e-13,3.91164079694822e-13,12.407641032991217,Increase in aging
ZBTB43,3.1127467808605055e-20,0.28901795149211007,1.1024311515547623e-18,healthy,aging,onek1k,CD4T,1.73856993454743e-34,1.4812615842344099e-33,32.82936824022428,Increase in aging
ZBTB44,2.437962066784112e-09,0.1894636467149319,4.564466424595805e-09,healthy,aging,onek1k,CD4T,6.31205431447023e-13,9.77794595623389e-13,12.009752367458178,Inconsistent
ZBTB7A,1.2824097465493389e-14,0.24330821397767355,9.7830997926082e-14,healthy,aging,onek1k,CD4T,8.05494722551635e-45,4.28925939758746e-43,42.36761768853959,Increase in aging
ZBTB7B,0.0011906534761997542,0.10359888706645336,0.0013863773353010836,healthy,aging,onek1k,CD4T,4.1886738928416004e-21,1.0749247459942901e-20,19.96862193904458,Increase in aging
ZEB1,5.6031462869412156e-08,0.1727555912601107,8.986178007358553e-08,healthy,aging,onek1k,CD4T,7.0342407498169e-10,9.277357769108361e-10,9.032575695083722,Inconsistent
ZEB2,2.798722161446111e-12,0.2211715872027034,9.440134274719026e-12,healthy,aging,onek1k,CD4T,3.1841617628647003e-18,6.5214082258671295e-18,17.18565861305855,Increase in aging
ZFP91,7.927972537778629e-12,0.2166111963575781,2.389637112451005e-11,healthy,aging,onek1k,CD4T,1.6011785862860399e-16,2.97861169326574e-16,15.525986109898028,Increase in aging
ZFX,4.5860015627236384e-07,0.16057557241931344,6.606951403923886e-07,healthy,aging,onek1k,CD4T,2.09504984329584e-08,2.55728147061326e-08,7.59222146813847,Inconsistent
ZFY,0.43907658880325606,0.024795212418472802,0.4496567475695996,healthy,aging,onek1k,CD4T,3.4477020846696e-05,3.530579538628e-05,4.452154000059831,Inconsistent
ZGPAT,0.2772162147579752,0.03481510218175312,0.2873582713954621,healthy,aging,onek1k,CD4T,1.0463413709622099e-11,1.5354427219297e-11,10.813766379816052,Increase in aging
ZHX2,0.0008735424015496742,0.10637259748199535,0.0010312653351628098,healthy,aging,onek1k,CD4T,8.09790125788899e-05,8.27267610518156e-05,4.082353978995003,Inconsistent
ZKSCAN1,0.6072555218784284,-0.016472570619157703,0.6130251705423564,healthy,aging,onek1k,CD4T,7.18621292349468e-07,8.07737916994388e-07,6.092729529901976,Inconsistent
ZMAT1,8.491993943319863e-21,-0.2931662777654294,3.6794773357745186e-19,healthy,aging,onek1k,CD4T,3.18756114755667e-28,1.54306937370357e-27,26.81161454837666,Decrease in aging
ZNF10,0.7681532518232901,0.009447938999152378,0.7736140569310386,healthy,aging,onek1k,CD4T,1.97861091476326e-07,2.29045720024225e-07,6.640077819090815,Inconsistent
ZNF101,0.06476408032257824,-0.059141326722384154,0.06950690438660544,healthy,aging,onek1k,CD4T,9.67048901341763e-08,1.14434119992109e-07,6.941444465796757,Decrease in aging
ZNF107,0.1558467463011667,0.045461593730810206,0.1647633511890444,healthy,aging,onek1k,CD4T,6.95347832262816e-06,7.40545441359899e-06,5.130448287140943,Inconsistent
ZNF131,3.0173515091105484e-08,0.17618153766967035,4.989783624015498e-08,healthy,aging,onek1k,CD4T,4.8676909141280496e-11,6.889157240593189e-11,10.161833902641868,Inconsistent
ZNF14,0.00011815317618949503,0.12292305193958833,0.00014471210340211927,healthy,aging,onek1k,CD4T,1.56305004218595e-05,1.63200813228238e-05,4.787277681491126,Inconsistent
ZNF141,2.651879837260578e-19,-0.28202145230210074,7.513659538904972e-18,healthy,aging,onek1k,CD4T,7.041186740088789e-36,7.691142439173899e-35,34.11400914548101,Decrease in aging
ZNF142,8.101083466200082e-10,0.19499006182614287,1.588180830753907e-09,healthy,aging,onek1k,CD4T,4.1239785625212805e-20,9.869746447382391e-20,19.005694004160873,Increase in aging
ZNF143,4.946277038736593e-09,0.1858261131878925,8.832637569172488e-09,healthy,aging,onek1k,CD4T,6.23329590810608e-24,2.12430724548255e-23,22.672782669620876,Increase in aging
ZNF146,2.2383053219722715e-12,0.22213726287970692,7.771854267163825e-12,healthy,aging,onek1k,CD4T,1.01969313461414e-23,3.44753393131446e-23,22.46249145071843,Increase in aging
ZNF148,6.0721521264496096e-05,0.12799238284457579,7.545803081114282e-05,healthy,aging,onek1k,CD4T,2.89387240292093e-08,3.51222120696387e-08,7.45441813913883,Inconsistent
ZNF165,0.0003166304509384856,0.1150393096160473,0.000381212299288545,healthy,aging,onek1k,CD4T,5.65398114478511e-06,6.11318773522451e-06,5.213732266876647,Inconsistent
ZNF207,4.465446568553747e-08,0.1740196979235098,7.299287660135932e-08,healthy,aging,onek1k,CD4T,2.2828437542720002e-17,4.38059206900843e-17,16.35846718745804,Inconsistent
ZNF217,1.084296766488421e-12,0.2252392602909908,4.078107307589195e-12,healthy,aging,onek1k,CD4T,5.4964286984203294e-18,1.09928573968407e-17,16.958889405812638,Inconsistent
ZNF22,2.0189192137122498e-11,-0.21242879227380698,5.392707614387304e-11,healthy,aging,onek1k,CD4T,1.49332857187105e-53,3.18078985808533e-51,50.49746502202392,Decrease in aging
ZNF224,8.325688768219739e-19,0.27820202628309354,1.9657876258296606e-17,healthy,aging,onek1k,CD4T,4.72186233887921e-28,2.23501484040283e-27,26.65071958882571,Inconsistent
ZNF236,1.2821467055855656e-10,0.20389179401041552,2.91396978542174e-10,healthy,aging,onek1k,CD4T,7.5799092621031e-20,1.7840007434563102e-19,18.74860496897396,Increase in aging
ZNF24,1.2351482129657925e-08,0.1810103550187174,2.1252550223095618e-08,healthy,aging,onek1k,CD4T,1.8220048253387802e-21,4.88159783392655e-21,20.31143800240774,Inconsistent
ZNF250,5.46284115977093e-06,0.14493638146514995,7.21027171708896e-06,healthy,aging,onek1k,CD4T,3.3666521384482e-07,3.83474281010409e-07,6.416263758155195,Inconsistent
ZNF266,2.1655259807986075e-14,0.24125111879532984,1.4844331319990455e-13,healthy,aging,onek1k,CD4T,6.43463516046633e-22,1.8033911699728e-21,20.743910061111844,Increase in aging
ZNF267,4.291599022853438e-16,0.25620866316551205,5.699779952227223e-15,healthy,aging,onek1k,CD4T,3.54782926307522e-21,9.21570284189051e-21,20.03547153741564,Increase in aging
ZNF274,1.1447782874073752e-05,0.1399392730536904,1.4833255248418735e-05,healthy,aging,onek1k,CD4T,4.76409361203523e-10,6.34290554648432e-10,9.197711755723153,Inconsistent
ZNF276,6.076255630568454e-11,0.20738467597909124,1.4589879338935555e-10,healthy,aging,onek1k,CD4T,2.29022155455383e-27,1.02698356025256e-26,25.988436508446288,Increase in aging
ZNF277,9.789623567218253e-08,0.1696075930006967,1.5466877383151514e-07,healthy,aging,onek1k,CD4T,5.16563837231492e-13,8.090301274287329e-13,12.092035305418099,Inconsistent
ZNF280D,3.675284796251092e-15,0.2481396715662498,3.48986955568218e-14,healthy,aging,onek1k,CD4T,1.12059464027789e-17,2.1698787125381e-17,16.663564540781675,Inconsistent
ZNF281,7.15209875814345e-15,0.24557869086573433,5.845465331174934e-14,healthy,aging,onek1k,CD4T,1.50818886271822e-22,4.55665571289335e-22,21.34135378415382,Increase in aging
ZNF292,1.4357841720321794e-09,0.19213977800890014,2.74868591492647e-09,healthy,aging,onek1k,CD4T,1.77044182030234e-10,2.44080328624205e-10,9.61246722064104,Inconsistent
ZNF302,8.486439942294069e-21,-0.29316834993386187,3.6794773357745186e-19,healthy,aging,onek1k,CD4T,6.79270824428416e-33,5.07665563520184e-32,31.294422295095277,Decrease in aging
ZNF318,3.6864636595727896e-10,0.1988424747008818,7.680132624109979e-10,healthy,aging,onek1k,CD4T,1.30832108270652e-18,2.78672390616488e-18,17.55490605675089,Increase in aging
ZNF32,4.036682801684736e-05,0.13101080925110353,5.0757106234201566e-05,healthy,aging,onek1k,CD4T,1.94325661653322e-08,2.38566950617622e-08,7.622389720592518,Inconsistent
ZNF326,2.7532552130067676e-09,0.18884341636293347,5.132164322490685e-09,healthy,aging,onek1k,CD4T,7.46399199307181e-12,1.1040488156418699e-11,10.957011723803197,Inconsistent
ZNF331,0.00020940141293875866,0.11840490492693051,0.00025354871937029183,healthy,aging,onek1k,CD4T,2.68567859439127e-06,2.93358738771969e-06,5.532600970192094,Inconsistent
ZNF335,2.5725814628792263e-12,0.2215362372039907,8.817315497771543e-12,healthy,aging,onek1k,CD4T,1.95550005213459e-16,3.60624684939106e-16,15.442944548922773,Inconsistent
ZNF33A,0.008533463499829658,0.08414912683810938,0.009494036616302631,healthy,aging,onek1k,CD4T,3.05305780348103e-06,3.32634942271847e-06,5.478032131428091,Inconsistent
ZNF33B,5.79522164738696e-15,0.24639107126620893,5.026467755386649e-14,healthy,aging,onek1k,CD4T,6.86461729845875e-28,3.2135461199378298e-27,26.493015462832847,Inconsistent
ZNF350,3.229623579735553e-14,0.23966878903209612,1.9608428876965859e-13,healthy,aging,onek1k,CD4T,8.354240204610209e-18,1.64004899869306e-17,16.785143176620515,Inconsistent
ZNF365,3.036251760080087e-15,0.2488690554884183,3.0723976143667554e-14,healthy,aging,onek1k,CD4T,3.1556478715122102e-47,3.36076498316051e-45,44.47356185649369,Increase in aging
ZNF37A,0.48788870981885923,0.022229603229589553,0.49605909491151956,healthy,aging,onek1k,CD4T,0.0001933644630113,0.0001970652182842,3.7053900212822732,Inconsistent
ZNF394,2.2626352303094363e-13,0.2317940454711559,9.902744224649553e-13,healthy,aging,onek1k,CD4T,2.44496169143019e-12,3.68040169805392e-12,11.434104777596213,Inconsistent
ZNF407,7.517474572290825e-06,0.14280053097166578,9.830543671457233e-06,healthy,aging,onek1k,CD4T,6.10392260290498e-06,6.54980108019527e-06,5.1837718894868985,Inconsistent
ZNF410,3.927253837095044e-11,0.20939797804415805,9.647877923499386e-11,healthy,aging,onek1k,CD4T,2.59724003843013e-21,6.82977936031628e-21,20.16559332620791,Increase in aging
ZNF428,2.4502503703897582e-05,0.13461492986908855,3.136615684986889e-05,healthy,aging,onek1k,CD4T,2.80020255524602e-13,4.4510682408015097e-13,12.351535747353886,Increase in aging
ZNF430,2.1439400743459193e-11,0.21215698316471832,5.6594691403541343e-11,healthy,aging,onek1k,CD4T,1.01860784308977e-10,1.42739125380343e-10,9.845456968666763,Inconsistent
ZNF431,1.3601097818960488e-13,-0.23388057706487664,6.721472759370008e-13,healthy,aging,onek1k,CD4T,2.24971733369898e-22,6.56424372709427e-22,21.182815302182163,Decrease in aging
ZNF439,0.057139574797665106,-0.06091078426917051,0.06163532814468952,healthy,aging,onek1k,CD4T,1.00032462363692e-21,2.7671317510995402e-21,20.55797016235767,Decrease in aging
ZNF44,2.1356244709369087e-29,0.3493647831799808,2.2691010003704657e-27,healthy,aging,onek1k,CD4T,4.74199475892449e-34,3.96096032804281e-33,32.40219950735546,Inconsistent
ZNF451,7.899172740592251e-10,0.19511477925329324,1.56876094147276e-09,healthy,aging,onek1k,CD4T,1.4571061647282797e-11,2.1041600887262697e-11,10.676921221264715,Inconsistent
ZNF460,2.283456315330956e-13,0.23175630747534215,9.902744224649553e-13,healthy,aging,onek1k,CD4T,1.91048403947201e-17,3.6826524923759104e-17,16.433839260717182,Increase in aging
ZNF480,6.064225459241011e-09,0.18476484663815382,1.0649982728005906e-08,healthy,aging,onek1k,CD4T,2.25205109265334e-27,1.02061038879822e-26,25.9911400152956,Increase in aging
ZNF493,1.103042279922777e-13,-0.23473358745947567,5.648108059845545e-13,healthy,aging,onek1k,CD4T,4.68636550307493e-29,2.55947654398708e-28,27.5918488461347,Decrease in aging
ZNF506,7.697527973159e-11,-0.20628507108567523,1.8174718825514306e-10,healthy,aging,onek1k,CD4T,7.409513814570041e-25,2.8182615044703902e-24,23.550018711482416,Decrease in aging
ZNF507,1.3630434174092278e-12,0.22426502481541577,4.909266545753575e-12,healthy,aging,onek1k,CD4T,6.9914424091602404e-15,1.1913417865209e-14,13.923963624994617,Inconsistent
ZNF511,1.7813120442268193e-07,0.16616430105662597,2.6846014850936106e-07,healthy,aging,onek1k,CD4T,2.04462537589481e-24,7.50871043216544e-24,23.124434643592945,Increase in aging
ZNF524,5.73499586609157e-05,0.12841870729198088,7.147722120495359e-05,healthy,aging,onek1k,CD4T,6.44310461011907e-16,1.16798406974924e-15,14.932563080568809,Increase in aging
ZNF580,3.8697328750966025e-16,0.2565903552997019,5.48212157305352e-15,healthy,aging,onek1k,CD4T,1.9847182771803498e-33,1.56572219644228e-32,31.805285291610627,Inconsistent
ZNF581,2.6374783371124207e-05,0.1340891026048048,3.356072734349637e-05,healthy,aging,onek1k,CD4T,2.7638874855517e-05,2.84400016629233e-05,4.546070382548517,Inconsistent
ZNF592,4.254656380193458e-10,0.1981468458214964,8.777810493117572e-10,healthy,aging,onek1k,CD4T,1.2062286838031399e-18,2.58217798643284e-18,17.588013825639884,Increase in aging
ZNF600,1.994647356384728e-13,0.23231273311461,9.046373176808415e-13,healthy,aging,onek1k,CD4T,8.42658615657762e-25,3.15483285013149e-24,23.50102364567137,Increase in aging
ZNF609,3.5470507956570507e-13,-0.22993394185231744,1.4635889205381036e-12,healthy,aging,onek1k,CD4T,1.20815074281766e-27,5.59426322217742e-27,26.252257102989567,Decrease in aging
ZNF639,1.6033407525291216e-11,0.2134680460685466,4.3402536294578135e-11,healthy,aging,onek1k,CD4T,2.9352499043629495e-11,4.19602838677389e-11,10.377161582399939,Inconsistent
ZNF644,2.6450478595691336e-07,0.1638508444258132,3.9168827188741525e-07,healthy,aging,onek1k,CD4T,3.18511691459698e-09,4.0503277779651105e-09,8.392509829525736,Inconsistent
ZNF652,0.0012031897996692225,0.10350392881834868,0.0013971466252989605,healthy,aging,onek1k,CD4T,1.59666050542514e-11,2.29789653821322e-11,10.638669529126677,Increase in aging
ZNF654,5.3767563955202763e-05,0.12889848852066094,6.720945494400345e-05,healthy,aging,onek1k,CD4T,1.29560618894683e-12,1.97823740677903e-12,11.703721590257997,Increase in aging
ZNF655,3.845897250372592e-09,0.1871281579630599,6.9553460910993674e-09,healthy,aging,onek1k,CD4T,4.34295905926174e-32,3.0835009320758304e-31,30.5109559159598,Increase in aging
ZNF664,1.3501765398526434e-17,0.26864113796598826,2.2953001177494937e-16,healthy,aging,onek1k,CD4T,3.3245994909884996e-27,1.4451830440419398e-26,25.84007714253871,Increase in aging
ZNF683,9.970366292239677e-10,0.1939610139450847,1.926093488273574e-09,healthy,aging,onek1k,CD4T,9.08927397829187e-31,5.5314724496461896e-30,29.257159246337988,Increase in aging
ZNF688,1.268998315871282e-13,0.2341632763551042,6.34499157935641e-13,healthy,aging,onek1k,CD4T,1.0490748087144999e-41,3.1921847750883897e-40,39.49591197807358,Increase in aging
ZNF706,0.569594296634376,0.018223856346201387,0.5777507782090926,healthy,aging,onek1k,CD4T,4.34788510377967e-08,5.23220071810774e-08,7.281315603924125,Inconsistent
ZNF708,7.979550446958096e-10,-0.19506476317536564,1.577352995328926e-09,healthy,aging,onek1k,CD4T,7.31275234844525e-15,1.23620337318955e-14,13.907910075696783,Inconsistent
ZNF721,5.960206287748923e-08,-0.1724099006316774,9.522885986065009e-08,healthy,aging,onek1k,CD4T,1.95772632066461e-15,3.4320634263503e-15,14.46444469475707,Decrease in aging
ZNF75A,2.077720512821669e-06,0.151225961362726,2.839328675077843e-06,healthy,aging,onek1k,CD4T,1.6951422218746202e-10,2.34457982635905e-10,9.629934976165881,Inconsistent
ZNF766,1.6080220692859167e-13,0.23319637416095998,7.593437549405718e-13,healthy,aging,onek1k,CD4T,4.29452746683812e-20,1.0220495535603601e-19,18.990528047140543,Inconsistent
ZNF770,0.0013458056736671228,0.10248349883404237,0.0015542592698601283,healthy,aging,onek1k,CD4T,1.67586295755438e-07,1.95059458994034e-07,6.709832984653356,Inconsistent
ZNF791,1.4134172063999442e-08,0.18028986011814235,2.4221867448386143e-08,healthy,aging,onek1k,CD4T,6.54139787567825e-09,8.195986750114511e-09,8.086398752364158,Inconsistent
ZNF800,1.3265830258449975e-14,0.2431758211353636,9.891189227791647e-14,healthy,aging,onek1k,CD4T,5.65742442511861e-16,1.0299413697010802e-15,14.987187497178349,Inconsistent
ZNF821,6.35899241658672e-13,0.22749430888449218,2.525768015933978e-12,healthy,aging,onek1k,CD4T,8.06284356598945e-43,2.8623094659262497e-41,40.54328341317639,Increase in aging
ZNF83,0.0005309631831347603,0.1107009248287444,0.0006320990275413813,healthy,aging,onek1k,CD4T,1.89032581591777e-06,2.0862145015051e-06,5.680641040094177,Inconsistent
ZNF830,3.2263069648750376e-18,0.27360094089031006,6.855902300359454e-17,healthy,aging,onek1k,CD4T,2.14397832469613e-24,7.80628005402182e-24,23.107555872253517,Inconsistent
ZNF831,8.075081125449675e-12,0.21652975561943472,2.399936698123155e-11,healthy,aging,onek1k,CD4T,1.90152063795899e-12,2.87250989989549e-12,11.541738465872898,Increase in aging
ZNF844,0.00012106070596509192,-0.12273424576415899,0.00014784712653782776,healthy,aging,onek1k,CD4T,1.72608150184788e-22,5.14203300550486e-22,21.288865140049705,Decrease in aging
ZNF91,3.2321235031401145e-05,-0.13262695861065413,4.088251454864729e-05,healthy,aging,onek1k,CD4T,1.0488587607548e-11,1.5354427219297e-11,10.813766379816052,Decrease in aging
ZNF92,7.773618833092909e-15,0.24525608458096004,6.233562271819785e-14,healthy,aging,onek1k,CD4T,1.38221567399237e-18,2.91496968871659e-18,17.535365956888352,Inconsistent
ZSCAN18,0.03143501517718312,-0.06887501193855579,0.034327094709999,healthy,aging,onek1k,CD4T,7.61806647581863e-27,3.21316467197895e-26,25.493067016652287,Decrease in aging
ZXDC,2.7624360648630536e-14,0.24028870952713266,1.7522915336817877e-13,healthy,aging,onek1k,CD4T,4.24125509702341e-22,1.21260045055837e-21,20.916282274732936,Increase in aging
ADNP,0.03318407841028797,-0.12042954364763728,0.057232459120577624,healthy,aging,abf300,CD4T,7.88487911714333e-16,1.4113271024802802e-15,14.850372318394138,Inconsistent
ADNP2,0.052567898194506364,-0.10967594463061361,0.08418768658217936,healthy,aging,abf300,CD4T,6.01119912759896e-10,7.95270443589179e-10,9.099485157902647,Inconsistent
AEBP1,9.461487748704837e-11,-0.3554097749822947,1.0334855848585283e-09,healthy,aging,abf300,CD4T,7.22841580383612e-33,5.30914678005894e-32,31.274975267710555,Decrease in aging
AEBP2,0.6968417215419045,-0.02210653404042018,0.7421364334421283,healthy,aging,abf300,CD4T,5.31818169131388e-18,1.07371819928896e-17,16.969109685631334,Inconsistent
AHCTF1,0.9652596431982703,-0.002471722759136779,0.9698127547227904,healthy,aging,abf300,CD4T,1.4917408852396e-12,2.26957720397168e-12,11.644055039319637,Inconsistent
AHR,0.00023617994997997965,0.2064084237388803,0.0006663089979567638,healthy,aging,abf300,CD4T,2.42303539933511e-22,7.02185768786908e-22,21.15354797663647,Increase in aging
AIRE,8.525779111558625e-16,0.43382981840008633,1.2106606338413246e-13,healthy,aging,abf300,CD4T,1.3249230427696901e-44,6.27130240244322e-43,42.20264225702309,Increase in aging
AKAP8,0.0983020553990643,-0.09361033389675333,0.15009561146953904,healthy,aging,abf300,CD4T,1.3378115874805e-11,1.9450775981798398e-11,10.711063067968572,Inconsistent
AKAP8L,0.35884088043335216,0.05203751512680906,0.4604404068211085,healthy,aging,abf300,CD4T,1.2337220708164801e-23,4.1059812669360995e-23,22.38658303637917,Increase in aging
AKNA,0.1597883023326351,0.07965199012716818,0.22996559727602214,healthy,aging,abf300,CD4T,1.83868823768935e-14,3.01261995867563e-14,13.521055651021674,Inconsistent
ANKZF1,0.7561819868843481,-0.017619539066516834,0.7973602138929017,healthy,aging,abf300,CD4T,6.67112430961315e-06,7.14044963792764e-06,5.146274439607242,Inconsistent
ARHGAP35,7.909571894625163e-07,0.2747971247900454,3.1787524784059614e-06,healthy,aging,abf300,CD4T,1.4453057881614e-28,7.3297650685328e-28,27.134909945014385,Increase in aging
ARID2,0.4128499491647053,-0.046447170359331595,0.5061312217119808,healthy,aging,abf300,CD4T,5.61225883416041e-12,8.3888500468503e-12,11.07629756867502,Inconsistent
ARID3B,0.4394866859196993,0.04385037388756507,0.528859800992058,healthy,aging,abf300,CD4T,9.32606947131038e-21,2.33700329104601e-20,19.631340676019363,Increase in aging
ARID5A,0.01957139653919033,-0.13190246331241415,0.03694569200189328,healthy,aging,abf300,CD4T,2.67459884302781e-10,3.64018884067044e-10,9.438876086039452,Inconsistent
ARID5B,1.5137386662210636e-06,0.2679298146059851,5.6566023842997645e-06,healthy,aging,abf300,CD4T,1.85049002406717e-30,1.06528209493596e-29,28.972535372458548,Increase in aging
ARNT,0.5125148284780257,0.03715452625790796,0.586912142289352,healthy,aging,abf300,CD4T,1.8448313542560201e-19,4.1803093452822604e-19,18.378791578995756,Increase in aging
ASH1L,0.0523476701382402,-0.10977772605560181,0.08418768658217936,healthy,aging,abf300,CD4T,4.41135658438074e-06,4.78177583955775e-06,5.320410786631981,Inconsistent
ATF1,1.9566160983744372e-07,0.2889721455547497,8.682483936536565e-07,healthy,aging,abf300,CD4T,1.6402077543153e-09,2.1109622457351e-09,8.675519533919031,Increase in aging
ATF2,0.3464752163781092,0.05338944647756594,0.4486274838208951,healthy,aging,abf300,CD4T,5.65465130977704e-20,1.3382674766472301e-19,18.873457076386977,Increase in aging
ATF3,0.9552138626696705,-0.0031871287366981443,0.961988429071583,healthy,aging,abf300,CD4T,4.50073606172225e-19,9.98600813694623e-19,18.00060808440254,Inconsistent
ATF4,0.319253087606494,0.05647792552542935,0.42105825176584044,healthy,aging,abf300,CD4T,7.996366730109661e-15,1.3411229240262701e-14,13.872531413960743,Increase in aging
ATF6,0.2780590814931461,-0.061498294312972844,0.3748517997344311,healthy,aging,abf300,CD4T,1.55604842639171e-08,1.92138153519672e-08,7.716386387258123,Inconsistent
ATF6B,0.00010189995324747859,0.2178782116675037,0.00029937503505810946,healthy,aging,abf300,CD4T,8.14144905778169e-10,1.06715609188154e-09,8.971772052098675,Increase in aging
ATF7,0.4428708599660479,0.04352702212971791,0.528859800992058,healthy,aging,abf300,CD4T,2.88337168726341e-26,1.14795919511609e-25,24.940073548916157,Increase in aging
BACH1,0.330317630746674,-0.05520291744394242,0.43164205735608313,healthy,aging,abf300,CD4T,1.7443925959517201e-15,3.0707076275844403e-15,14.512761532228842,Inconsistent
BACH2,4.532495898664257e-11,-0.3610502275282279,5.516695008088495e-10,healthy,aging,abf300,CD4T,1.5385071605443098e-28,7.6319610222882e-28,27.117363856313446,Decrease in aging
BATF,7.157317161899004e-12,0.37472906384611465,1.270423796237073e-10,healthy,aging,abf300,CD4T,1.65685238866557e-30,9.66875503522651e-30,29.014629442787662,Increase in aging
BAZ2A,0.21279407015130336,-0.07061810572542611,0.2972140127359188,healthy,aging,abf300,CD4T,2.63463798742977e-20,6.413461615114761e-20,19.192907500191577,Inconsistent
BAZ2B,0.025413708808480068,0.1263316918958959,0.0454884031613971,healthy,aging,abf300,CD4T,5.4313999208126496e-18,1.09140394635198e-17,16.962014480206722,Increase in aging
BBX,0.19871148035759914,-0.07284046399334178,0.27845753497479353,healthy,aging,abf300,CD4T,3.3494589473803202e-21,8.75380068456452e-21,20.057803346068717,Inconsistent
BCL11B,2.1163905354885418e-06,-0.2643085489450103,7.640528543373888e-06,healthy,aging,abf300,CD4T,1.7141612297367502e-14,2.819431211845e-14,13.549838496812663,Decrease in aging
BHLHE40,2.200521368616664e-05,0.23737013748678443,7.048286488952623e-05,healthy,aging,abf300,CD4T,2.33390994469418e-24,8.4258104783027e-24,23.074388313682114,Increase in aging
BPTF,0.9542769593917462,-0.0032538738634692596,0.961988429071583,healthy,aging,abf300,CD4T,1.43149925472552e-08,1.7778970335658e-08,7.7500933946869965,Inconsistent
CAMTA1,1.1859982278217298e-08,0.31528538418333646,7.540824553015775e-08,healthy,aging,abf300,CD4T,3.8790880991942104e-31,2.4664052690399e-30,29.607935560486986,Increase in aging
CC2D1A,1.3857361945709908e-05,0.2429385601011875,4.5062871670781836e-05,healthy,aging,abf300,CD4T,1.65134138102274e-36,1.9012741305829302e-35,34.720955260927106,Increase in aging
CDC5L,1.5592465465980516e-07,0.29120370329761625,7.299329987371098e-07,healthy,aging,abf300,CD4T,8.44251044401385e-25,3.15483285013149e-24,23.50102364567137,Increase in aging
CEBPB,0.09892598603057558,0.09343789267480214,0.1505088216036614,healthy,aging,abf300,CD4T,1.9469713157323e-21,5.15161354349043e-21,20.288056723719805,Increase in aging
CEBPD,7.194283545903654e-05,0.22245661419038687,0.0002237054591645954,healthy,aging,abf300,CD4T,8.87298685595476e-10,1.15458872865897e-09,8.937572686491906,Increase in aging
CEBPG,8.423521842693667e-07,0.2741392644643043,3.3536638364369177e-06,healthy,aging,abf300,CD4T,7.91482018758284e-39,1.46596234778708e-37,36.83387718410028,Increase in aging
CEBPZ,0.06711382752622208,-0.10362503891506449,0.10628435139840374,healthy,aging,abf300,CD4T,8.77741921418769e-08,1.04155448056935e-07,6.98231800848933,Inconsistent
CENPS,0.15843385760159123,0.07991035835983058,0.229567426320673,healthy,aging,abf300,CD4T,1.20616500240492e-06,1.3415830052859e-06,5.8723824518609025,Inconsistent
