TF,median_LPS,median_NS,effect,U,p,FDR,sig
PBX2,-1.1272016586904263,11.403147454139834,-12.53034911283026,64.0,1.747780876504308e-39,9.953825235701366e-39,***
NFKB2,9.496610044360397,-6.5244361786055745,16.02104622296597,14080.0,1.747780876504308e-39,9.953825235701366e-39,***
DBP,-5.741079372713157,9.14140981300169,-14.882489185714848,66.0,1.836681680491542e-39,1.0334100539633134e-38,***
TSHZ1,-6.388303769936835,6.342675497157586,-12.73097926709442,67.0,1.8828038136176635e-39,1.0467492630469629e-38,***
NFATC3,-6.905436547065408,3.192845313897549,-10.098281860962956,68.0,1.9300773936301446e-39,1.0604072268532677e-38,***
RREB1,-1.1534434092824521,13.960173967795736,-15.113617377078189,70.0,2.0281939011540128e-39,1.1013564556266558e-38,***
ETS2,8.505621729336692,-8.42728563106433,16.93290736040102,14072.0,2.1312683696157246e-39,1.131025373421072e-38,***
MSANTD3,7.997485776464327,-8.51093888350723,16.508424659971556,14072.0,2.1312683696157246e-39,1.131025373421072e-38,***
CSRNP2,8.53361380944413,-5.254687262276314,13.788301071720444,14069.0,2.2957243353182215e-39,1.204610409655741e-38,***
USF1,1.2786786092034212,7.710326201371046,-6.431647592167625,76.0,2.3532996489960056e-39,1.211342999679341e-38,***
CSRNP1,9.463669041553214,-7.882545708817956,17.346214750371168,14067.0,2.412310470453506e-39,1.211342999679341e-38,***
HIVEP2,5.965223158861695,-10.262358458948514,16.22758161781021,14067.0,2.412310470453506e-39,1.211342999679341e-38,***
SKIL,4.071848907274777,-8.681475500109755,12.753324407384532,14067.0,2.412310470453506e-39,1.211342999679341e-38,***
ESRRA,4.4537483495787304,6.2213714131224105,-1.76762306354368,78.0,2.4727923778486795e-39,1.2285042983567377e-38,***
ZNF263,2.4609046585240417,8.535119479693979,-6.074214821169937,81.0,2.6634336731723803e-39,1.2822922941974243e-38,***
LIN54,4.2953691551889,-4.426957372679109,8.72232652786801,14063.0,2.6634336731723803e-39,1.2822922941974243e-38,***
FOSL2,8.974079692671914,-5.169115489572658,14.143195182244572,14063.0,2.6634336731723803e-39,1.2822922941974243e-38,***
GLIS3,9.452603276841941,-5.158052918376688,14.61065619521863,14061.0,2.7985760068633297e-39,1.3201363587931062e-38,***
REPIN1,-1.0192866575857695,10.407462605890025,-11.426749263475795,83.0,2.7985760068633297e-39,1.3201363587931062e-38,***
NFE2L2,5.831488968725852,-6.025280266501952,11.856769235227803,14060.0,2.8686821837036906e-39,1.3396745797896236e-38,***
ZHX3,-1.3585893518031473,0.716443068626925,-2.0750324204300723,86.0,3.014175495142575e-39,1.380019564932924e-38,***
ZNF503,-3.179917050712641,11.9032876661104,-15.08320471682304,86.0,3.014175495142575e-39,1.380019564932924e-38,***
KLF2,-1.286364373771876,7.106750110702139,-8.393114484474015,87.0,3.089650134509934e-39,1.4008413716661546e-38,***
MTF1,6.6842269042759295,-9.014320336545023,15.698547240820952,14056.0,3.1670035645772234e-39,1.42210640832458e-38,***
MXD1,6.284708907683429,-6.448567209599837,12.733276117283266,14053.0,3.410807240363162e-39,1.5026858313675441e-38,***
TGIF1,9.311413274281218,-4.3802663337394,13.691679608020618,14053.0,3.410807240363162e-39,1.5026858313675441e-38,***
ZBTB17,9.514518909609052,-5.639401704362461,15.153920613971513,14051.0,3.5836203231622384e-39,1.5640660662773506e-38,***
KLF7,-8.026363195025175,8.986909634367509,-17.013272829392683,97.0,3.9557913542017175e-39,1.710513483715002e-38,***
ZNF524,0.728254435375636,13.380499301198746,-12.65224486582311,103.0,4.587275761313774e-39,1.9653741105812223e-38,***
HLX,8.753609247085288,-4.139686873095121,12.893296120180409,14039.0,4.819291287565914e-39,2.0460082102666198e-38,***
EEA1,0.5062188425128494,3.4128521859299585,-2.906633343417109,108.0,5.1893655880778414e-39,2.1832736302994161e-38,***
ZNF18,-6.639745072798624,0.8129734948908234,-7.4527185676894465,111.0,5.587681926661663e-39,2.3092455396026518e-38,***
MEF2A,0.8521195532923955,2.584469484395639,-1.7323499311032435,111.0,5.587681926661663e-39,2.3092455396026518e-38,***
