group	TF	rho_mean	rho_sd	rho_lo	rho_hi
REF_RPMI	FOSL2	0.06103477426415529	0.09035747618424686	-0.07432669351956843	0.18980543158811547
REF_RPMI	GATA2	0.07375187515480623	0.15356949225870892	-0.16369652975331792	0.24577850548836083
REF_RPMI	GATA3	-0.11914807541013683	0.08293968386322571	-0.20140831937007234	0.034032317587110936
REF_RPMI	JUN	0.6218292737834272	0.08018131818219562	0.45685448425301817	0.6928491355099311
REF_RPMI	JUND	0.2796257267574272	0.10183227429151089	0.09645206928147432	0.4089863767328214
REF_RPMI	MAX	-0.3262427798590598	0.10890864021356346	-0.4920326699835083	-0.1927055876779705
REF_RPMI	MEF2A	0.06951377652166255	0.09209722155771562	-0.042819823946501516	0.22846655952895145
REF_RPMI	MYC	0.5131865220387071	0.08175587458349148	0.38290970114887324	0.6326684212122828
REF_RPMI	NFIC	0.16293579869693148	0.09127537762161804	0.0313684800912432	0.27314039281443325
REF_RPMI	PBX3	-0.3440259116611454	0.12086043720835847	-0.5259729169595002	-0.16813564666921954
REF_RPMI	SPI1	0.00020466184367396166	0.0985534593548698	-0.09729772817107286	0.11610592714957232
REF_RPMI	SPIB	0.2218571241099896	0.11048272334301676	0.0923352442815576	0.4139387868924371
REF_RPMI	TCF12	0.3313481516973486	0.09065258178450211	0.1728446763185723	0.4607890891264711
