group	TF	jackknife	rho
REF_RPMI	FOS	9	-0.14602619398274772
REF_RPMI	FOSL2	9	0.06101409636019355
REF_RPMI	GATA2	9	0.13914895855249312
REF_RPMI	GATA3	9	-0.0626051967178624
REF_RPMI	JUN	9	0.6020276667367979
REF_RPMI	JUND	9	0.2400720597517357
REF_RPMI	MAX	9	-0.291749947401641
REF_RPMI	MEF2A	9	0.09045602777193351
REF_RPMI	MYC	9	0.44102409004839044
REF_RPMI	NFIC	9	0.10477593099095309
REF_RPMI	PBX3	9	-0.36991110877340627
REF_RPMI	TCF12	9	0.2867794024826425
REF_RPMI	SPI1	9	-0.02389280454449821
REF_RPMI	SPIB	9	0.22111035135703766
REF_RPMI	ETV6	9	-0.0859194193141174
REF_RPMI	CEBPB	10	0.4498737639385651
REF_RPMI	FOS	10	-0.13549337260677466
REF_RPMI	FOSL2	10	0.07713549337260678
REF_RPMI	GATA2	10	0.1060251420155691
REF_RPMI	GATA3	10	-0.06524826425415527
REF_RPMI	JUN	10	0.6212918156953503
REF_RPMI	JUND	10	0.24523984851672623
REF_RPMI	MAX	10	-0.2881469598148537
REF_RPMI	MEF2A	10	0.07466337050284029
REF_RPMI	MYC	10	0.4735693246370713
REF_RPMI	NFIC	10	0.08706343362087103
REF_RPMI	PBX3	10	-0.4049547654113191
REF_RPMI	TCF12	10	0.27464233115926784
REF_RPMI	SPI1	10	-0.04962655165158847
REF_RPMI	SPIB	10	0.25180149379339367
REF_RPMI	ETV6	10	-0.11500631180307173
REF_RPMI	CEBPB	11	0.442036608457816
REF_RPMI	FOS	11	-0.1377419524510835
REF_RPMI	FOSL2	11	0.04445876288659793
REF_RPMI	GATA2	11	0.08982484746475909
REF_RPMI	GATA3	11	-0.08447296444350935
REF_RPMI	JUN	11	0.6015937302756154
REF_RPMI	JUND	11	0.2282768777614138
REF_RPMI	MAX	11	-0.27670681674731745
REF_RPMI	MEF2A	11	0.10534136334946348
REF_RPMI	MYC	11	0.43949873763938563
REF_RPMI	NFIC	11	0.10451293919629706
REF_RPMI	PBX3	11	-0.3747107090258784
REF_RPMI	TCF12	11	0.2713154849568693
REF_RPMI	SPI1	11	-0.030585945718493577
REF_RPMI	SPIB	11	0.2038843888070692
REF_RPMI	ETV6	11	-0.08104092152324846
REF_RPMI	CEBPB	12	0.4454160530191458
REF_RPMI	FOS	12	-0.15434988428361035
REF_RPMI	FOSL2	12	0.06921944035346096
REF_RPMI	GATA2	12	0.10148853355775299
REF_RPMI	GATA3	12	-0.09543972228066482
REF_RPMI	JUN	12	0.6092730906795708
REF_RPMI	JUND	12	0.23838891226593728
REF_RPMI	MAX	12	-0.27443193772354296
REF_RPMI	MEF2A	12	0.09842467915001052
REF_RPMI	MYC	12	0.4416289711760993
REF_RPMI	NFIC	12	0.08757626762045023
