gene,p_value,slope,p_value_adj,neg_log10_adj_pval,ctrl,condition,comparison,age_group,dataset,cell_type,direction
FLI1,1.066093496718762e-25,2.2805094388638185,6.487940422888466e-25,24.18789314679468,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
FOS,9.503316939888664e-07,1.2205937810819396,1.234272261095296e-06,5.908589031186686,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
FOSB,0.0009149387746053,0.6622681745222749,0.0010649287376553,2.9726794531440763,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
FOSL2,4.581119611121038e-17,1.7260342042767518,8.304497678032181e-17,16.08068663199724,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
FOXJ2,5.540931576284981e-27,0.6434022079961839,5.901092128743504e-26,25.229067605036885,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
FOXJ3,1.530609622630409e-09,1.0910613528208994,2.0965906727992094e-09,8.678486350601304,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
FOXK1,0.3640295142785918,0.0272728576050305,0.374581094402609,0.4264541458177496,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
FOXN2,1.1725873312152011e-24,1.9547488204331012,5.0456788191684426e-24,23.297080397794314,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
FOXN3,0.0337990891006024,-0.7821283904887792,0.0363596261536784,1.4393805908029091,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Decrease in SLE
FOXO1,6.4940360067505995e-09,-0.8144121984707828,8.810380060113872e-09,8.0550053566901,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Decrease in SLE
FOXO3,4.049093227496685e-24,1.066764346179589,1.5971423286236925e-23,22.796656380178607,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
FOXP1,2.7882036712841038e-15,-2.642198993943861,4.657940250851092e-15,14.331806086624029,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Decrease in SLE
FOXP3,2.398656229699972e-25,2.723639644591966,1.310035325451523e-24,23.882716993319946,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
GATA3,1.0631000467153295e-26,4.0884622502594326,9.410792986067104e-26,25.02637377987104,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
GATAD2A,3.783502847750911e-25,0.9923407980911207,1.852611739243549e-24,23.732215588329257,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
GATAD2B,1.3103191732621664e-08,0.9880966654171068,1.7720506914593107e-08,7.751523858799886,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
GFI1,1.1079183168937633e-18,0.6927354561849643,2.2054822569941272e-18,17.656496431751155,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
GLIS3,2.8204338617347413e-13,-0.2369279158496731,4.4011165754542106e-13,12.356437127822883,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Decrease in SLE
GLYR1,7.000873714419898e-28,0.8190476506658158,1.0284042077044404e-26,25.987836155114472,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
GMEB1,5.136774719385124e-29,0.5794705397986455,1.4866064241852128e-27,26.827803994779295,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
GPBP1,0.0006637383096685,0.8292807496773387,0.0007789325617598,3.108500140945406,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
GPBP1L1,7.375847687750198e-23,1.0919379332129893,2.137490554409241e-22,21.670095795746928,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
GTF2B,4.715740115759551e-06,0.665688312874468,6.014686494950804e-06,5.220787004577043,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
GTF2I,1.8257603588324112e-20,0.9478252612339926,4.1592187853615364e-20,19.38098823405293,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
GTF3A,4.6573444251945184e-20,2.847980174666517,1.0333482943400336e-19,18.98575327304447,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
HBP1,0.1443254453555432,0.0630699605794484,0.1510629968586276,0.8208419038156364,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
HIF1A,7.401815436018267e-05,-0.7209341956744293,9.009066787839376e-05,4.04532019346957,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Decrease in SLE
