ensembl_id,mean_expr,detection_rate,cv,p90_expr,donor_variance_ratio,tau_cell_type,tau_cell_type_max,tau_cell_type_min,tau_cell_type_range,tau_cell_type_variance,n_expressing_cell_types,cell_type_selectivity,peak_cell_type_expr,dominant_peak_celltype,tissue_tau,tissue_entropy,n_tissues_expressing,n_tissues_high_tau,bimodality_score,bimodality_max_celltype,bimodality_mean_celltype,n_bimodal_celltypes,variance_within_celltype_max,outlier_cell_fraction,ae_risk_cardiac,ae_risk_hepatic,ae_risk_renal,ae_risk_neural,ae_risk_immune,ae_risk_hematopoietic,ae_risk_gi,ae_risk_dermal,ae_risk_pulmonary,ae_risk_endocrine,ae_risk_reproductive,ae_risk_musculoskeletal,ae_risk_ocular,overall_safety_risk,multi_system_ae_count,attrition_risk_phase1,attrition_risk_phase2,attrition_risk_phase3,rare_celltype_enrichment,critical_rare_expr_max
ENSG00000182578,0.08768882,0.08039386420021694,4.910390765929521,0.2670674560246645,0.030902299822174094,0.9207708458399373,0.9899522236415318,0.8419748306274414,0.1479773930140904,0.0020110956709792427,9.148148148148149,0.9834009193141854,1.0104746,macrophage,0.7030605169442984,4.3199896812438965,27,27,0.2296059810852917,0.45721127158217834,0.2671979151469743,0.2222222222222222,0.5425492,0.027890856428435345,0.0044001437097644786,5.397303799087127e-05,2.08572747884132e-05,0.002339116572371474,0.013901292184644833,0.0009109267407082719,7.710469454813837e-06,0.00264897402196806,3.859896704605047e-06,0.00019711913687067356,6.138797474503117e-06,0.0017609000622105368,9.696530951906612e-05,0.026347977214470603,6,0.000987571315584192,0.0028135021383609263,0.002482276348645222,3.421568944076992,0.004478771
ENSG00000182580,0.027797831,0.048158365255769435,11.767958414751153,0.06435588035318589,0.023264232050520896,0.8920408633604326,0.9665412902832031,0.7757872343063354,0.19075405597686768,0.0024471398207934407,7.37037037037037,0.1321844214014669,0.10419526,monocyte,0.8552078100351187,3.7945468425750732,27,27,0.30226248924002813,0.4566623066048574,0.2979256851958218,0.25925925925925924,0.08762755,0.017192311245935912,0.001032363151890588,0.0001692276550484801,5.4570536712638e-07,7.476357066767294e-05,0.00040376010284573065,2.1942975833735446e-05,0.0011676846923817273,0.0020432902707578425,0.00010447922886187089,8.076742299658846e-05,9.413698678500512e-05,0.0003001695306984523,0.00025169639454476474,0.005744827688679585,3,0.0007699349497829544,0.0001655295597035241,0.00046434692002857007,1.5112404304928155,0.00062593626
ENSG00000182674,0.013670152,0.01361069178484491,14.689148931863818,0.0,0.012003782287719637,0.9262058687575964,0.9977088727449116,0.7493893974705746,0.24831947527433695,0.004132879792588162,3.5555555555555554,0.3971562470967821,0.4230038,fibroblast,0.833897223839393,4.0133748054504395,27,27,0.27894810758470795,0.3986399914310883,0.2738311164549345,0.1111111111111111,0.35415432,0.009478466465787259,0.0003370006612760141,1.3302693808175265e-05,5.5312181055322e-05,0.0005100317936108858,0.00015762032800302277,0.0001848416411581478,0.0001524452440132757,0.0010161108657406595,7.0430185255666e-06,0.002085261906192779,0.0007473817152202704,0.00023808955031201235,3.4130086756340285e-05,0.005538571685672472,3,0.0003413765669311885,5.476906682128879e-05,0.0004977445969180626,30.60032760641321,0.5099814
ENSG00000182774,0.68010914,0.5777027074238301,1.1065308120910657,1.559312358333005,0.12661335785799913,0.4854260525715751,0.6708927835736956,0.36211533773513066,0.308777445838565,0.005238870443568895,20.185185185185187,0.4040716795793155,1.157461,b cell,0.38993167877197266,4.654067039489746,27,0,0.19742523460787495,0.3464892690056335,0.2118478767360654,0.0,0.65066224,0.0033347852250130584,0.21581533878174283,0.002760858351481577,0.02801266062372936,0.01631645074195376,0.3124467704455307,0.0870944368843127,0.027207866581406195,0.21255616118211038,0.015178615499900835,0.007509834069754817,0.001902029294667025,0.12365907746507397,0.013185556844946246,1.0636456567666102,13,0.09422081065300028,0.07227358145196575,0.09500777724223891,1.0387060556286003,0.88962775
ENSG00000182866,0.1358569,0.1057147855803504,5.00004844190837,0.44141863452063673,0.046201499270971835,0.8502801332257812,0.986720221383231,0.7593538110906427,0.2273664102925883,0.002024090755074103,12.37037037037037,0.8776378511150774,0.9073807,"cd8-positive, alpha-beta t cell",0.7481922002939078,4.253602981567383,27,27,0.20402657036196958,0.4873964816045802,0.2796192086832144,0.4074074074074074,0.69221985,0.02796263940093669,0.0004906898431460739,5.248454644987374e-05,3.9633719101448985e-05,0.0001422217917138418,0.04090000827392853,0.0014496276540040662,1.3435930224354059e-05,0.0006468918427254347,1.115458379545317e-05,7.311630535863661e-06,4.3894445184866913e-07,0.0005435279399512486,2.7617385926064984e-05,0.044325044085954106,4,0.0008582229746144263,0.008218134043741077,0.0002419045545852591,1.0212931394824971,0.011485697
ENSG00000182871,0.25048375,0.235970276775283,2.545235072325405,0.8140753162679851,0.06922496184340468,0.8374513075695276,0.9264292223700161,0.6924405694007874,0.23398865296922877,0.0032644597294105918,18.37037037037037,0.9428357906755735,1.1549706,smooth muscle cell,0.6433776708749624,4.359349250793457,27,26,0.23287418195650955,0.5008095019274799,0.26366257519743636,0.4074074074074074,0.5810632,0.02316997903471575,0.09328860918839729,0.007903471580304158,0.0021285435977916817,0.016027134723603124,0.00895407794702273,0.005968744139104532,0.0003305531279004605,0.043940293779138,0.00015894592577924105,0.0013383521739295902,0.0006819209731392278,0.05097530750595813,0.0005054732187202651,0.23220142788078846,10,0.011871596763750006,0.0063811144588941295,0.042289208494988656,1.1373982704677579,0.054414723
ENSG00000182899,2.2598872,0.885211508860158,0.4750004699271461,3.358541148680228,0.23556085120761086,0.331237238604353,0.44092760414912785,0.21092067824469674,0.23000692590443111,0.0036088639965695113,20.296296296296298,0.344983358659606,3.1493914,"cd4-positive, alpha-beta t cell",0.2881421125852145,4.7297492027282715,27,0,0.23962385009942103,0.40843605316351983,0.2509381269964704,0.037037037037037035,1.4253718,9.859453490493023e-06,0.9301770087750905,0.04191895929537928,0.08826405483358052,0.07279162017974035,1.4512640428461283,0.42990047149537963,0.11858984314477082,0.8587492338903636,0.05618526482872276,0.05067625755971007,0.024965187513323998,0.5378844651508844,0.05665037588895778,4.718016785402031,13,0.4222770354691938,0.3376915046669895,0.4102129682856739,0.95151176312218,2.7729838
ENSG00000183044,0.14371736,0.17363385251209776,2.8358905083228048,0.5062598296130699,0.05241794016053938,0.6419224147571353,0.9221350929953835,0.4270006815592448,0.49513441143613873,0.015667648537455524,19.59259259259259,0.25611208155104476,0.31684554,neutrophil,0.7515161954439603,4.433785915374756,27,10,0.2550807772909393,0.4389423418397263,0.2674515961092147,0.1111111111111111,0.25873885,0.029977824020332163,0.011051291351203574,0.0019931942040467684,0.009332685806792558,0.0069942879017168055,0.03566274349426037,0.008550763418273018,0.0058788608071067994,0.01925725128351855,0.0020289642464863577,0.004245811994377035,0.00047553228536515384,0.0060144469691567,0.001804731664316708,0.11329056542662039,12,0.00989049020797226,0.010928951542913228,0.007349176959731447,0.9710584529624492,0.27103892
ENSG00000183087,0.21315345,0.23660559967583641,2.7101765200601053,0.7418331740079104,0.051922128250776606,0.8005422076609598,0.9609235127766927,0.6806846800304595,0.2802388327462333,0.006866821008444356,15.296296296296296,0.7222389324501634,0.79452205,plasma cell,0.6823676182673528,4.358835220336914,27,23,0.25927962647386005,0.4410615135172258,0.2651564399095305,0.14814814814814814,0.4763735,0.022455429659001543,0.07287782916517711,0.0037200293720090517,5.199631485802914e-06,0.0038691492992051334,0.016966406636002594,0.0021001382045559482,0.005189760700220596,0.04973819674951941,0.0041065699653585,0.0015811680092750347,0.0005329930230434203,0.041272317029689844,0.0016714113339225554,0.203631169119465,12,0.012554636662248035,0.005254855902650786,0.03129130724983159,1.330442405881656,0.019068776
ENSG00000183134,0.0030710069,0.003992592438115849,33.37775997762998,0.0,0.002971856375593217,0.9438201593406987,0.996605464390346,0.7670460614291105,0.22955940296123556,0.0027479098201854653,2.3703703703703702,0.10782515728070584,0.0849122,mast cell,0.9301774685199444,3.173417568206787,27,27,0.2670598439243175,0.42952729116126626,0.2995600871815598,0.25925925925925924,0.08834343,0.003452470650906592,0.00038446045746887744,1.867936838481508e-08,1.4416334911074806e-07,1.4267078804775103e-07,0.00018100189061539268,0.00012473950195789806,3.3698494712417994e-06,0.00022359323221047533,7.645229822795046e-08,4.475911431189385e-05,5.921499761029804e-08,0.00026764237865034633,4.7091210847570296e-07,0.0012304785175959827,0,0.00010809935226241665,3.6252966812004164e-05,0.00015831818611480029,7.142423460374709,0.039462455
