targetId,n_trials,pct_reached_phase3,n_reached_phase3,pct_reached_phase2,n_reached_phase2,pct_terminated,n_terminated,pct_withdrawn,n_withdrawn,pct_endpoint_primary,n_endpoint_primary,pct_endpoint_secondary,n_endpoint_secondary,pct_endpoint_either,n_endpoint_either,pct_phase1_to_phase2,n_phase1_to_phase2,targetFromSourceId
ENSG00000009724,1.0,100.0,1.0,100.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,O00187
ENSG00000010310,22.0,54.5,12.0,68.2,15.0,0.0,0.0,0.0,0.0,59.1,13.0,59.1,13.0,59.1,13.0,42.9,3.0,P48546
ENSG00000010322,2.0,100.0,2.0,100.0,2.0,50.0,1.0,0.0,0.0,50.0,1.0,50.0,1.0,50.0,1.0,,0.0,Q9Y2I1
ENSG00000010610,28.0,20.7,6.0,72.4,21.0,13.8,4.0,6.9,2.0,44.8,13.0,44.8,13.0,44.8,13.0,25.0,2.0,P01730
ENSG00000010671,268.0,10.4,32.0,55.7,171.0,20.2,62.0,7.2,22.0,29.3,90.0,27.4,84.0,29.6,91.0,13.7,13.0,Q06187
ENSG00000010810,198.0,5.2,13.0,50.2,125.0,26.9,67.0,6.0,15.0,17.3,43.0,18.5,46.0,18.5,46.0,11.1,9.0,P06241
ENSG00000011485,2.0,0.0,0.0,75.0,3.0,0.0,0.0,0.0,0.0,75.0,3.0,0.0,0.0,75.0,3.0,0.0,0.0,P53041
ENSG00000011677,669.0,36.0,262.0,64.7,471.0,11.1,81.0,3.4,25.0,31.2,227.0,31.2,227.0,33.8,246.0,3.2,7.0,P34903
ENSG00000012124,74.0,17.1,14.0,48.8,40.0,23.2,19.0,9.8,8.0,24.4,20.0,23.2,19.0,25.6,21.0,23.3,7.0,P20273
ENSG00000012504,68.0,20.8,15.0,80.6,58.0,22.2,16.0,5.6,4.0,37.5,27.0,30.6,22.0,38.9,28.0,9.1,1.0,Q96RI1
ENSG00000012779,129.0,65.6,86.0,85.5,112.0,16.0,21.0,0.8,1.0,40.5,53.0,38.9,51.0,42.7,56.0,28.6,4.0,P09917
ENSG00000013275,8.0,0.0,0.0,0.0,0.0,66.7,6.0,11.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P43686
